album,album_id,artist,artist_id,duration_ms,id,name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
All In The Value,7eNouI40lMINobrcDhAaBS,HONNE,0Vw76uk7P8yVtTClWyOhac,302487,3UdZ07wbVCN7aZxGBXjMia,The Night,43,0.197,0.667,0.558,3.14e-06,9,0.176,-5.743,0,0.0364,140.016,0.402
Jungle,7oZG5VZ4SukMmnylJ16O24,Jungle,59oA5WbbQvomJz2BuRG071,173626,24887eCca9nMwyGfdPsOI6,Drops,44,0.852,0.703,0.237,0.637,5,0.0924,-14.283,1,0.0541,107.992,0.171
Unbound,6FdqBcYp1942mjle6d4xQM,Ásgeir,7xUZ4069zcyBM4Bn10NQ1c,247129,5Sjx2nRkH30WCDlPo1Ozfd,Unbound,9,0.779,0.499,0.403,0.768,11,0.116,-10.31,1,0.0491,99.455,0.335
Manila Ice,09PgXQwjDCtaTMFiKuLwq9,Eyedress,3XxNRirzbjfLdDli06zMaB,143136,5OQGn9vOqLUdhtPq9Qux2O,Manila Ice,0,0.694,0.668,0.402,0.291,1,0.0878,-9.961,0,0.0369,114.844,0.543
He Had Something on His Mind,3cPBNmqs4m932rxsBAP8rL,Isra,3yePNQgmdB0f4MoI6ACb4A,197804,6UbPc8uTc6rWQITTzHOBDK,He Had Something on His Mind,8,0.451,0.56,0.436,0.112,1,0.529,-8.463,0,0.0369,83.026,0.206
Dead End Thrills,5NrOoNjEkdnmDWVP6BLODk,Cubicolor,4nMIbZxtt1kWqUZ8VNKvjU,271899,0wdWnLADjbf5hPZU1IkjD1,Dead End Thrills,24,0.429,0.658,0.614,0.00309,9,0.0896,-8.506,0,0.0316,119.008,0.207
Mala,1Z69PSnbIBojgF9NBJbKca,Devendra Banhart,1YZEoYFXx4AxVv13OiOPvZ,155066,2CG6feguaKMR3C4zCMjDNR,Für Hildegard von Bingen,50,0.363,0.864,0.397,0.5,11,0.114,-12.779,0,0.121,95.019,0.432
A Place Like This,0LncwHODjl9isM9pzVmuOS,Majid Jordan,4HzKw8XcD0piJmDrrPRCYk,261543,1jRHh8JcdUV9zTiAmyzhU9,A Place Like This,54,0.0442,0.551,0.449,0.00681,8,0.0831,-11.297,1,0.0637,133.558,0.392
No Measure,0lwEbQ3rtEZ6IxG5JJFGpB,Dutch,3MOZ80A0j1ByZiTQk9Kdhv,335161,7HbzuipWXv5MPStvMgTcN6,No Measure,0,0.218,0.49,0.438,0.000151,1,0.274,-9.865,1,0.186,67.775,0.282
Clap Your Hands (The Remixes),06Hj73HFcGnvM3SxbXwwRy,Whilk & Misky,6m9a3tDNWDe6bVR2csIjEv,281687,2kr9u9kksMESO8q5H56BXL,Clap Your Hands - MUTO Remix,0,0.522,0.625,0.462,5.66e-05,5,0.221,-9.329,0,0.28,130.078,0.176
A Place Like This,0LncwHODjl9isM9pzVmuOS,Majid Jordan,4HzKw8XcD0piJmDrrPRCYk,308178,47wRhI5SQeEq6YXawou58W,U,48,0.146,0.517,0.488,0.0643,4,0.101,-10.431,0,0.0903,74.787,0.0578
West Coast,4cSgASAuWJQ9igHuwMlCQ6,MISSIO,2HOMW1liAxI3URnEq95SMS,251872,6zvbty1Vv0uR5Zajlx43gk,West Coast,49,0.0954,0.341,0.612,0.00114,9,0.146,-8.035,0,0.0421,119.971,0.159
Desert Rose,4N4cMzIa5GKvh91dG3YNWV,Lolo Zouaï,2qDIR2WlcW3llkGqJWg9VJ,264746,622qlNmaUa2ZhzUQKiNMDp,Desert Rose,2,0.288,0.334,0.447,0.0,7,0.13,-6.325,0,0.0296,87.855,0.42
FREE 6LACK,43wDrqtbTZnUibro4VteOq,6LACK,4IVAbR2w4JJNJDDRFP3E83,263013,2LvJuRmrVZFBS2fCLEUGvX,Free,1,0.00299,0.744,0.53,7.7e-06,9,0.104,-5.359,0,0.0447,124.024,0.366
FEELS,4FKCroUOb0VCWrU7ClYtWR,Snoh Aalegra,1A9o3Ljt67pFZ89YtPPL5X,209911,27tCCThExMJEQh7lMp3Sd4,Nothing Burns Like The Cold,50,0.216,0.517,0.481,0.00146,0,0.0881,-7.725,1,0.0962,138.12,0.339
Blonde,1PDX0hMmsSdq122EupvNZF,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,314075,1ZyjmRCQy5J11z5gqywVvP,Nikes,3,0.692,0.631,0.396,0.000238,8,0.109,-9.646,1,0.091,137.989,0.129
You're so Cool,7nRnifw2QKY8oyxbSNiPdd,Mohave,0P3aCTexfN5InUm3P8fCyO,246357,2P0B6PL2qLIOuIzjsjlZg4,You're so Cool,29,0.336,0.478,0.433,0.723,2,0.214,-12.667,1,0.0434,89.367,0.236
11:11,7MFqMpnO5HceGxLJs5jeB9,Tanerélle,1r1n66Rkx4fzNCIUQhS6OH,227591,1MeTaS9GUMhlOFqi05TiaL,Dalí,25,0.0415,0.324,0.558,0.0407,9,0.529,-11.682,0,0.0853,78.939,0.0782
nowhere,0nxyFLQ27Mg74ZeKwQUMR0,josh pan,2sfSQ1BOzaFQa3LZj6OGwD,260063,3GO5rhSwva3FehBw36GhF3,nowhere,39,0.671,0.577,0.571,0.123,0,0.193,-9.798,1,0.0926,129.839,0.166
Afternoon,59rAa0Lo3UbJtFrO3WApbd,TENDER,1I9HNoVK6kOQGVZfulXVnm,188072,0bleWpLne79d7vpP1cUC4p,Afternoon,45,0.0502,0.64,0.498,0.105,3,0.227,-8.678,0,0.0322,128.068,0.27
All The Time,0rVAveOmyi8dpaZSKSDR1P,Jeremih,3KV3p5EY4AvKxOlhGHORLg,264200,0sFvItEeMstcUyZCleYgyj,All The Time,5,0.556,0.677,0.439,6.3e-06,9,0.228,-9.282,0,0.326,109.997,0.034
