name,id,popularity,duration_ms,album,album_id,artist,artist_id,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
Pausa,3pWFZKy7JVT0gJYzkjd9aX,42,227251,Pausa,60mJk5aDdrPI4aSVCKNJy9,5 a Seco,1R9QfzgBmhk1spLg3BiU1f,0.0337,0.144,1,0.107,7,0.452,-11.296,0.817,1.15e-06,0.19,149.111
Como Quero Demonstrar,6bUlF5XkOWzh5bLawb4yuL,40,156549,Pausa,60mJk5aDdrPI4aSVCKNJy9,5 a Seco,1R9QfzgBmhk1spLg3BiU1f,0.192,0.618,1,0.133,2,0.628,-10.215,0.751,0.000213,0.366,86.955
Duas Jornadas,21r7NkuUuGEvY0QiUZViDk,43,208703,Pausa,60mJk5aDdrPI4aSVCKNJy9,5 a Seco,1R9QfzgBmhk1spLg3BiU1f,0.0286,0.453,1,0.137,7,0.624,-11.535,0.854,9.83e-06,0.27,132.962
Vai Vendo,1fDfoTgnxSkcD9wkXw92vh,40,209552,Pausa,60mJk5aDdrPI4aSVCKNJy9,5 a Seco,1R9QfzgBmhk1spLg3BiU1f,0.0484,0.381,1,0.097,7,0.684,-12.627,0.785,0.0,0.228,131.94
Vem Ver,1HeGvSkFccdrzdOxXwwLa5,39,184035,Pausa,60mJk5aDdrPI4aSVCKNJy9,5 a Seco,1R9QfzgBmhk1spLg3BiU1f,0.0452,0.3,1,0.109,2,0.537,-15.406,0.89,0.00758,0.153,83.314
Coisas Dentro das Coisas,5Oraxr1g7X2PFpr4qGuV0J,52,180939,Pausa,60mJk5aDdrPI4aSVCKNJy9,5 a Seco,1R9QfzgBmhk1spLg3BiU1f,0.0472,0.475,0,0.101,6,0.504,-10.173,0.766,0.0,0.284,119.093
Interior,2lGmme0LiMYWtsKO9qYKu2,42,203140,Pausa,60mJk5aDdrPI4aSVCKNJy9,5 a Seco,1R9QfzgBmhk1spLg3BiU1f,0.0317,0.364,1,0.154,7,0.699,-11.782,0.781,0.0,0.218,116.852
Outro Big Bang,1SBfXsgb6wYM72qpCcINnO,38,205055,Pausa,60mJk5aDdrPI4aSVCKNJy9,5 a Seco,1R9QfzgBmhk1spLg3BiU1f,0.0336,0.477,0,0.0943,6,0.455,-11.501,0.867,0.0,0.187,86.618
Centro,37ssB8goUGT9EXmrMWg7tw,39,221654,Pausa,60mJk5aDdrPI4aSVCKNJy9,5 a Seco,1R9QfzgBmhk1spLg3BiU1f,0.0327,0.313,0,0.108,5,0.474,-13.461,0.849,2.3e-05,0.163,180.012
Invenção,1r3r2P96CA5mHuhmyBNcvo,38,196434,Pausa,60mJk5aDdrPI4aSVCKNJy9,5 a Seco,1R9QfzgBmhk1spLg3BiU1f,0.0374,0.251,1,0.106,8,0.744,-11.949,0.782,0.237,0.264,109.977
