album,album_id,artist,artist_id,duration_ms,id,name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Self-Titled,7jhH139X9JCMwKlW0SWwLY,It Looks Sad.,24M8W1AklCxyWTKjrJZDQ8,228000,71QKtFaECvOxpvHk105FMw,Ocean,38,0.002,0.555,0.723,0.00378,9,0.0589,-6.485,1,0.042,122.003,0.348
Kaiju,0Z0fNb1sXiQ7oULwQYZMUA,It Looks Sad.,24M8W1AklCxyWTKjrJZDQ8,230653,3GHB3jMQPJ6Q97JKbZCowT,Nagoya,46,0.000725,0.541,0.569,0.206,7,0.0873,-8.497,1,0.0251,150.178,0.215
Sweet FA,1lhF5c8Q9bzYNwGFwQgYnP,Peach Pit,6fC2AcsQtd9h4BWELbbire,287080,0ZK8TGOsngrstVPsnrHbK1,Peach Pit,68,0.00322,0.515,0.804,0.00229,6,0.149,-5.345,0,0.0398,123.969,0.298
Being So Normal,6xduu32sm4aidoLhaxYkUA,Peach Pit,6fC2AcsQtd9h4BWELbbire,361760,5OuJTtNve7FxUX82eEBupN,Tommy's Party,66,0.122,0.565,0.438,0.0469,7,0.108,-8.722,1,0.0311,133.949,0.211
Between Days,3P8SSE7Y0fa4c8JHFLH5co,Far Caspian,0EzsHuJxUDcfqSqvoPhKG4,205785,1dtLFRRmiGg2nBaV4Rg9Ux,Blue,47,0.31,0.607,0.791,0.705,7,0.254,-9.963,1,0.0341,153.971,0.845
Filoxiny,5F3jI2TClJuyIAUcbgf4Ps,Skinshape,1itM5tXaK5THggpXA7ovAe,218626,1RI9Qpt8QbYtwfCW8npcO1,I Didn't Know,60,0.432,0.646,0.399,0.284,5,0.124,-14.222,1,0.0295,104.985,0.581
Self-Titled,7jhH139X9JCMwKlW0SWwLY,It Looks Sad.,24M8W1AklCxyWTKjrJZDQ8,268626,0V1syM3vqyaJiZj43657W8,Fingers,46,0.0071,0.366,0.847,0.514,11,0.103,-3.627,0,0.0418,160.118,0.365
Yam Yam,33dtgSEkkObUGGyNz2MgkH,No Vacation,32zeX1IoVKAGWMyy1isKUq,216038,7kyiHjkFdmHcYcIJtFAdaF,Yam Yam,66,0.319,0.445,0.591,0.766,7,0.107,-9.004,0,0.0316,137.864,0.0774
A Different State of Mind,67vmBAu5bzXKL13wbYGfb7,Kid Bloom,5CXdWANGwYYRPClH6hhC0P,155500,3EZvhNCLA30qUZT2LMDYRL,"I Kissed a Girl, and She Kissed Me",51,0.761,0.756,0.468,0.0535,10,0.178,-12.357,1,0.0394,118.019,0.559
Amo XO,04Yi3MVgftQcAqIqVdy9Wu,No Vacation,32zeX1IoVKAGWMyy1isKUq,148192,4loxhrC7MqARWyHLofmhtW,Beach Bummer,62,0.0654,0.689,0.783,0.237,10,0.147,-5.148,1,0.0447,129.955,0.756
