id,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
5OuJTtNve7FxUX82eEBupN,0.0311,0.211,1,0.108,7,0.565,-8.722,0.122,0.0469,0.438,133.949
0ZK8TGOsngrstVPsnrHbK1,0.0398,0.298,0,0.149,6,0.515,-5.345,0.00322,0.00229,0.804,123.969
7kyiHjkFdmHcYcIJtFAdaF,0.0316,0.0774,0,0.107,7,0.445,-9.004,0.319,0.766,0.591,137.864
3EZvhNCLA30qUZT2LMDYRL,0.0394,0.559,1,0.178,10,0.756,-12.357,0.761,0.0535,0.468,118.019
4loxhrC7MqARWyHLofmhtW,0.0447,0.756,1,0.147,10,0.689,-5.148,0.0654,0.237,0.783,129.955
6lbLn5iL2NBJnbib7bTXMn,0.258,0.262,1,0.307,2,0.192,-5.888,0.00164,0.716,0.952,172.752
3dmsgudsfeGdQ9NsZFOm0C,0.0363,0.961,0,0.0799,2,0.819,-5.967,0.0549,0.0568,0.688,104.013
1ecdTZufvS62SLVPZTivYd,0.163,0.669,0,0.068,1,0.607,-11.625,0.077,3.97e-06,0.277,209.896
1RI9Qpt8QbYtwfCW8npcO1,0.0295,0.581,1,0.124,5,0.646,-14.222,0.432,0.284,0.399,104.985
54miTcO8OzHBlpnsVyUx8X,0.0303,0.467,1,0.12,4,0.519,-7.301,0.000559,0.00037,0.724,135.051
6OiRh4kttAs1YWglvTcYkB,0.0495,0.503,0,0.108,6,0.534,-4.675,0.00605,0.0929,0.724,81.846
65sNrvOp2HLlhGTeLJ0nnk,0.0507,0.295,0,0.125,6,0.541,-8.886,0.674,0.00583,0.583,148.162
0SBariQWfKjoslW2XSIFOm,0.0387,0.809,1,0.103,11,0.559,-5.188,0.00837,0.00759,0.89,91.509
1H3bR7kQ1VBOb5pEJMiPdM,0.0547,0.578,0,0.147,4,0.513,-5.913,0.339,0.255,0.878,173.21
51jG0OlS5GWuunFH05NyC6,0.0368,0.0876,0,0.115,6,0.644,-8.813,0.927,0.0264,0.247,124.667
3ljCRAo4YkWwrt3OufWzUE,0.0378,0.538,1,0.236,9,0.468,-2.301,0.00247,0.542,0.693,133.052
