,album,album_id,artist,artist_id,duration_ms,id,name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
0,Beautiful People Will Ruin Your Life (Extended Version),7CPPcbdyAhAF1PEWCnm4DY,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB,214432,08JTB5hpXPCVPGJzic8E9e,Bee-Sting,43,0.0457,0.65,0.866,0.0,11,0.0682,-3.713,1,0.0343,115.001,0.717
1,"Proudly Present....A Guide To Love, Loss & Desperation",75l5Bqvc0BH45UhJrS04Xj,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB,191293,7v9Ne4758aGFfFc5avh89h,Let's Dance To Joy Division,65,0.00125,0.397,0.839,0.0,4,0.576,-6.674,1,0.102,116.947,0.764
2,Beautiful People Will Ruin Your Life,4kUbTSoTsbKP5MRdYMDBx1,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB,219481,4w9TBRGhvbhiLQB8jVCusl,Cheetah Tongue,62,0.0426,0.533,0.967,0.000432,2,0.132,-3.066,1,0.057,95.008,0.603
3,Beautiful People Will Ruin Your Life,4kUbTSoTsbKP5MRdYMDBx1,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB,207679,11IJA30efHAJLO3qroPh5L,Turn,63,0.00743,0.531,0.847,0.0,1,0.0916,-3.907,1,0.0529,105.03,0.38
4,"Proudly Present....A Guide To Love, Loss & Desperation",75l5Bqvc0BH45UhJrS04Xj,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB,210560,7GvkOFkNsM6Exnkyqeajqm,Moving To New York,64,2.93e-05,0.252,0.886,5.33e-06,9,0.256,-4.678,0,0.0714,161.939,0.498
5,Glitterbug,5eMwZy5R5qZB3v3lBumnFZ,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB,219613,3SRIyREeWrLvZfcv8VlYXE,Curveballs,43,0.00579,0.603,0.888,0.000271,1,0.124,-4.068,0,0.0539,111.036,0.466
6,Shoot The Runner,2UVe0naRioZq6hX1XAxCTB,Kasabian,11wRdbnoYqRddKBrpHt4Ue,246173,6iJr6l8LNwM5udbBfxpW90,Pictures Of Matchstick Men,38,0.00126,0.472,0.81,0.00231,7,0.0447,-6.255,1,0.0266,87.006,0.523
7,Currents,6tCj7K3gfh1tCXq6MPooTn,Covet,46iJ1VD4HKFnqjISGqlZkV,235906,1LCH1RDZKSzMfLzNZPpDZk,Nautilus,34,0.294,0.391,0.847,0.858,11,0.16,-8.425,0,0.0286,96.149,0.723
8,Currents,6tCj7K3gfh1tCXq6MPooTn,Covet,46iJ1VD4HKFnqjISGqlZkV,279786,35J3Vo82tou1IcA4xTS4lZ,Hydra,34,0.358,0.418,0.758,0.866,6,0.176,-9.36,0,0.0274,162.362,0.795
9,Currents,6tCj7K3gfh1tCXq6MPooTn,Covet,46iJ1VD4HKFnqjISGqlZkV,334986,67VGpK85BQ8xTYNAfN9cZc,Sea Dragon,40,0.0696,0.287,0.705,0.59,11,0.0882,-10.91,0,0.0328,169.994,0.417
10,Ares,3863cN1HywUwhnrHkG4ahv,Covet,46iJ1VD4HKFnqjISGqlZkV,350811,10OAoychwKbKKmizb7rOzf,Ares,42,0.317,0.341,0.658,0.831,6,0.371,-10.166,0,0.033,126.016,0.629
11,effloresce,1vvBlvKIqeQDPJbDkt0Xny,Covet,46iJ1VD4HKFnqjISGqlZkV,345520,7BsPyswBtiM1PbPnUnuNzE,shibuya (feat. San Holo),44,0.454,0.445,0.765,0.184,4,0.186,-4.186,1,0.0317,126.018,0.332
12,Big Boi Presents... Got Purp? Vol. 2,4MPlsVxzNfag41woKvMm9m,Killer Mike,2N4EYkIlG1kv25g6Wv8LGI,122786,2iDsfMsoqha1JXwewtK5rg,Dungeon Family Dedication,17,0.181,0.653,0.717,0.0,9,0.449,-5.521,1,0.39,89.149,0.394
13,Diaspora,7cPLbQhG8gu3rP81JBPHTA,Christian Scott aTunde Adjuah,2q37Nw8NND2z1T1KU5XVfn,297079,0x14txXHlEAZIbHnfTvpAR,Diaspora,33,0.131,0.506,0.585,0.329,6,0.158,-9.188,1,0.0793,92.658,0.172
14,Jungle,6IH6co1QUS7uXoyPDv0rIr,Jungle,59oA5WbbQvomJz2BuRG071,173626,6FvjAQqC2L0B3TTANybitI,Drops,52,0.852,0.703,0.237,0.637,5,0.0924,-14.283,1,0.0541,107.992,0.171
15,Jungle,6IH6co1QUS7uXoyPDv0rIr,Jungle,59oA5WbbQvomJz2BuRG071,107010,6I2y5r09DYjvCwtXtnbZAi,Smoking Pixels,44,0.71,0.664,0.327,0.00793,2,0.101,-12.551,0,0.0432,91.989,0.209
16,Jungle,6IH6co1QUS7uXoyPDv0rIr,Jungle,59oA5WbbQvomJz2BuRG071,256805,4XzacjJ1X1EwBEOD7JYgnR,Lucky I Got What I Want,51,0.236,0.537,0.565,0.885,5,0.108,-13.773,1,0.0361,186.058,0.0949
17,Jungle,6IH6co1QUS7uXoyPDv0rIr,Jungle,59oA5WbbQvomJz2BuRG071,208634,4WAaV7ifIcrHf2SS8jnb6H,Son Of A Gun,44,0.142,0.593,0.644,0.642,7,0.0929,-9.815,1,0.0554,195.951,0.32
18,For Ever,1VZxGX1lzF1QjY5QofhC5r,Jungle,59oA5WbbQvomJz2BuRG071,280699,1MJUvkDWM7bdgah1kT3BsL,Pray,52,0.217,0.265,0.561,0.152,1,0.127,-6.626,0,0.0364,178.098,0.141
19,For Ever,1VZxGX1lzF1QjY5QofhC5r,Jungle,59oA5WbbQvomJz2BuRG071,132201,5cV6XZ4GspMzVFEgRdv5wa,Home,51,0.986,0.376,0.134,0.698,4,0.0946,-10.981,0,0.0437,76.684,0.232
20,For Ever,1VZxGX1lzF1QjY5QofhC5r,Jungle,59oA5WbbQvomJz2BuRG071,191900,3e4IZ4YHeAQghxGxvelkQa,(More and More) It Ain't Easy,51,0.106,0.51,0.659,0.197,10,0.1,-10.082,0,0.0401,81.304,0.72
21,For Ever,1VZxGX1lzF1QjY5QofhC5r,Jungle,59oA5WbbQvomJz2BuRG071,219984,53pn1xUK40ZuqqiUGEd2ak,Cosurmyne,53,0.0119,0.554,0.718,0.136,1,0.339,-8.405,1,0.0509,149.748,0.646
22,For Ever,1VZxGX1lzF1QjY5QofhC5r,Jungle,59oA5WbbQvomJz2BuRG071,213394,6D1Yl6NEp9SSGWKBCFTlZX,Give Over,52,0.68,0.553,0.387,0.053,1,0.0992,-8.673,1,0.0342,137.983,0.148
23,For Ever,1VZxGX1lzF1QjY5QofhC5r,Jungle,59oA5WbbQvomJz2BuRG071,283822,28RgNB3KlLcjGrWSxLGutK,House In LA,56,0.362,0.445,0.471,0.00562,10,0.661,-9.079,0,0.0307,117.032,0.0742
24,For Ever,1VZxGX1lzF1QjY5QofhC5r,Jungle,59oA5WbbQvomJz2BuRG071,197240,1DeTFlWJxBIuzX6xgAkHsW,Mama Oh No,55,0.465,0.675,0.502,0.583,7,0.138,-7.952,1,0.033,123.055,0.259
25,For Ever,1VZxGX1lzF1QjY5QofhC5r,Jungle,59oA5WbbQvomJz2BuRG071,234369,33wUd3GgaRf2rux2aJ71yb,Casio,59,0.431,0.816,0.492,0.0899,10,0.0995,-7.464,0,0.0752,115.989,0.766
26,For Ever,1VZxGX1lzF1QjY5QofhC5r,Jungle,59oA5WbbQvomJz2BuRG071,191529,5nF6drlQTtXc5iThQoyONB,Happy Man,61,0.198,0.594,0.516,2.99e-05,9,0.0736,-7.848,0,0.0315,108.018,0.154
27,For Ever,1VZxGX1lzF1QjY5QofhC5r,Jungle,59oA5WbbQvomJz2BuRG071,196138,0Y30sCKxtNQ2MRpl00aA03,Cherry,59,0.889,0.613,0.427,0.0279,8,0.129,-8.324,1,0.221,82.523,0.467
28,For Ever,1VZxGX1lzF1QjY5QofhC5r,Jungle,59oA5WbbQvomJz2BuRG071,187148,2Y6yBb2KctOmsxRSS8ZaKY,Smile,58,0.244,0.649,0.863,0.802,8,0.103,-8.202,1,0.088,110.027,0.582
29,For Ever,1VZxGX1lzF1QjY5QofhC5r,Jungle,59oA5WbbQvomJz2BuRG071,184599,0Gpq0lllEPZf98gVo9C4uS,"Heavy, California",60,0.0733,0.674,0.713,0.139,6,0.169,-7.46,0,0.036,111.017,0.704
30,For Ever,1VZxGX1lzF1QjY5QofhC5r,Jungle,59oA5WbbQvomJz2BuRG071,246815,6qX4gWRXTRPIrEfNuNaYye,Beat 54 (All Good Now),64,0.517,0.646,0.695,0.00687,2,0.154,-6.34,1,0.0547,105.986,0.513
31,The Sun And The Moon,34P1Vf0qmvfKVFE2PqxuBJ,The Bravery,2bcrMsFlF632EQ6VZERWFu,226162,0TpPtPgWCxhJpD3vEhKSrg,Believe,5,0.00475,0.385,0.948,1.9e-06,8,0.113,-3.369,1,0.0457,166.138,0.517
32,Gorilla Manor,0r5Ish3BCwLoJ1nPtZtLbc,Local Natives,75dQReiBOHN37fQgWQrIAJ,266440,2fea1IQDXMABCGce4H5dzZ,Wide Eyes,41,0.00114,0.526,0.84,0.423,11,0.237,-8.022,0,0.0398,123.173,0.478
33,AM,41vPD50kQ7JeamkxQW7Vuy,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,215066,0LpwaDYfgFL34JuGAhr4DF,Mad Sounds,27,0.306,0.527,0.463,0.16,5,0.109,-10.785,1,0.0305,80.035,0.46
34,Gorilla Manor,2cIpJDijNEoHv88jJKwDID,Local Natives,75dQReiBOHN37fQgWQrIAJ,228813,6pVGh8d37m2K0uRYsc3F6d,Sticky Thread,33,0.01,0.557,0.648,0.501,6,0.0633,-7.815,0,0.0293,102.045,0.427
35,Youth is Only Ever Fun in Retrospect,3Hua29YXoJu25qVEhmssFb,Sundara Karma,4fgXfJCQnK6c44u4KzAtQP,225653,3ZJZjjKFxTqVGJ8QIYKMjp,She Said,57,0.000294,0.422,0.949,0.0,7,0.073,-3.789,1,0.0694,165.032,0.635
36,Gb City,4VFt6gflVhBmesukoQ3Lt5,Bass Drum of Death,5LtAyeDVOVcydj65LvgICY,181400,57QZeBhHRLiWhIpjHvKtND,Get Found,41,0.0137,0.477,0.964,0.0932,2,0.288,-4.948,0,0.0563,145.949,0.299
37,Truth EP,1ybJvLh46tM8x5FjsrA7zZ,Ed Prosek,6DchmKCVOKK707FCrLFFDW,220624,783gviIdhI9Q82ugi6VW4r,Truth,56,0.747,0.578,0.487,0.00018,0,0.125,-8.838,0,0.0329,142.046,0.249
