uri,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
spotify:track:3DMnCzBn8jizeatq0ll5Bm,0.269,0.675,0,0.0888,6,0.959,-5.762,0.0849,0.00012,0.789,126.873
spotify:track:2cK62gM9EfeQbegZr9sgbf,0.0591,0.838,1,0.0992,6,0.95,-3.203,0.206,8.92e-06,0.913,129.348
spotify:track:0vIMtFCAGjVEMgDbliT1tJ,0.121,0.878,1,0.139,2,0.967,-3.367,0.0173,2.09e-05,0.831,127.01
spotify:track:4loSpml4rzeFM1fDJb0Upe,0.073,0.919,0,0.0849,10,0.854,-7.298,0.0431,0,0.708,128.967
spotify:track:1wNfqzFyu1ryYNJ1Wc8dSb,0.406,0.971,1,0.178,9,0.698,-7.064,0.389,0,0.663,129.965
spotify:track:2PSsjdKe42nE7gZYA1c6fu,0.038,0.96,1,0.122,7,0.812,-6.322,0.0933,0.000603,0.796,130.061
spotify:track:7x1goCkDzkypSiBz9AWnbp,0.0357,0.964,1,0.0415,3,0.68,-4.123,0.0605,0.000172,0.836,133.248
spotify:track:223kw4LZKU5dueel21vS4Z,0.0468,0.878,0,0.252,11,0.795,-6.782,0.173,6.29e-06,0.693,95.132
spotify:track:4eMjjXozRE6TDSb7qZggvP,0.271,0.935,1,0.114,8,0.858,-5.531,0.205,0,0.782,130.02
spotify:track:6a2ge6gH01iO5vHi6194AI,0.365,0.961,0,0.0704,3,0.892,-4.273,0.448,0,0.775,130.098
spotify:track:55Dt0kmkS2HOgKqk99CijE,0.208,0.623,0,0.0976,10,0.888,-5.691,0.0244,0.337,0.671,129.065
spotify:track:0dCwmf59BqqIAXvw9PRsGG,0.112,0.95,0,0.326,6,0.973,-5.969,0.0105,0.00476,0.957,126.973
spotify:track:6vOR7pRR0tnAJjamX2gaAV,0.242,0.848,0,0.0418,11,0.897,-6.169,0.053,0,0.825,128.069
spotify:track:1wg3ODt1z6YhBCBB8Gahol,0.159,0.872,0,0.468,11,0.923,-5.694,0.277,0,0.891,130.005
spotify:track:0P3k6Jipqv1UWX0a4GmUuj,0.289,0.541,0,0.159,8,0.644,-0.109,0.358,5.28e-05,0.898,132.028
spotify:track:480o64VmNvWcwzCg74VUxW,0.042,0.953,0,0.065,4,0.866,-3.77,0.0688,0.0166,0.861,129.005
spotify:track:4k3HBeh98WWN2ybGHC0WQI,0.178,0.807,0,0.21,6,0.864,-4.357,0.173,0,0.734,132.094
spotify:track:0AkYG1hvMaGblphc106OEK,0.208,0.811,0,0.45,11,0.794,-2.648,0.441,0,0.907,129.952
spotify:track:3LfLEnOd8AeKrXVkJPFukf,0.352,0.835,1,0.202,4,0.893,-2.407,0.107,0,0.887,127.053
spotify:track:28aUFtkMnJaqNQkLHR0weV,0.104,0.661,0,0.0447,5,0.806,-7.857,0.205,0,0.694,132.97
spotify:track:2coxlAb4MdWJ9br51D0qn7,0.0981,0.907,0,0.0585,11,0.968,-5.679,0.0418,0,0.6,111.951
spotify:track:4ebLB7MhWDEq5sxrLwitXy,0.219,0.437,0,0.0716,1,0.666,-7.396,0.362,0.000126,0.805,92.631
spotify:track:1yfd5SJPdI21Z0el1uPJkv,0.185,0.924,1,0.0734,7,0.964,-6.552,0.375,0,0.926,130.003
spotify:track:15EQEJEmEUWOMX3sd6idWy,0.127,0.697,0,0.347,11,0.807,-10.509,0.326,0,0.639,129.069
spotify:track:5afHIkEcVhCF1Z1CTqMUXB,0.0312,0.471,0,0.07,2,0.768,-7.046,0.66,0.000277,0.567,117.974
spotify:track:1CUVN2kn7mW5FjkqXTR2W1,0.0487,0.709,1,0.277,1,0.742,-5.307,0.372,0,0.819,117.986
spotify:track:6glklpxk7EtKIdxA3kYQS5,0.145,0.727,1,0.194,1,0.668,-5.714,0.48,0,0.673,171.812
spotify:track:6OzCmbmKvXcamW6YhnhT5x,0.0413,0.494,1,0.0604,8,0.693,-6.446,0.297,0.000127,0.516,94.02
spotify:track:6tF92PMv01Ug9Dh8Rmy6nH,0.0755,0.656,0,0.179,9,0.771,-6.258,0.00256,9.71e-06,0.696,116.054
spotify:track:6kex4EBAj0WHXDKZMEJaaF,0.109,0.782,1,0.187,1,0.696,-3.862,0.075,0,0.817,98.064
spotify:track:2gFvRmQiWg9fN9i74Q0aiw,0.0797,0.632,1,0.153,1,0.818,-4.282,0.034,0,0.803,106.97
spotify:track:1lkvpmrCaXK8QtliFDcHBO,0.036,0.257,1,0.115,9,0.688,-6.681,0.594,0,0.477,127.866
spotify:track:26QRPeQOgmIGLCQKgoUJkG,0.0471,0.378,0,0.0789,4,0.509,-4.83,0.0717,1.08e-05,0.637,172.006
spotify:track:6yZc8RzX7vxxqIQLQeVPzT,0.0474,0.653,0,0.13,6,0.741,-11.707,0.837,8.68e-05,0.276,121.149
spotify:track:7wIvDsKPVD6StcczoTpXec,0.0464,0.827,1,0.257,4,0.835,-7.508,0.122,9.36e-05,0.628,126.058
spotify:track:7kJlTKjNZVT26iwiDUVhRm,0.122,0.491,0,0.0948,2,0.654,-4.761,0.0188,0,0.796,108.854
spotify:track:1I8tHoNBFTuoJAlh4hfVVE,0.052,0.391,0,0.077,11,0.486,-7.226,0.408,6.63e-05,0.652,113.055
spotify:track:0PR5JkIKdjPWqsgnGJoXyY,0.125,0.653,0,0.102,9,0.598,-9.26,0.363,0,0.645,85.997
spotify:track:2srL4DYBekshpbprS6H0mO,0.222,0.705,1,0.106,7,0.555,-11.026,0.841,0,0.439,186.581
spotify:track:2nGFzvICaeEWjIrBrL2RAx,0.0362,0.542,1,0.133,9,0.739,-7.844,0.167,1.34e-06,0.511,96.038
spotify:track:5xVJU6DJHnmHnbbKS56yCC,0.0387,0.857,0,0.112,2,0.794,-6.993,0.66,0,0.474,111.971
spotify:track:6TmmyW0fR8mo3ACj07lGmO,0.0556,0.423,1,0.395,7,0.74,-4.265,0.00166,0.000171,0.779,150.0
spotify:track:3ehrxAhYms24KLPG8FZe0W,0.075,0.735,1,0.0849,10,0.378,-5.576,0.02,7.66e-05,0.638,184.086
spotify:track:6ALXhCtReKYxst5J0hWE2z,0.101,0.681,1,0.0554,8,0.778,-4.332,0.031,1.66e-06,0.714,145.843
spotify:track:1dx97DCWerlbM2Iw6wc9vf,0.326,0.594,0,0.333,1,0.576,-7.409,0.741,2.3e-06,0.586,172.932
spotify:track:0rHct5QPUUlNEQml8GfglW,0.128,0.632,0,0.11,7,0.829,-11.228,0.345,0.00866,0.399,147.944
