name,id,popularity,duration_ms,album,album_id,artist,artist_id,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
Radioactive,62yJjFtgkhUrXktIoSjgP2,79,186813,Night Visions,6nxDQi0FeEwccEPJeNySoS,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,0.0634,0.195,1,0.671,9,0.457,-3.699,0.114,0.000101,0.793,136.382
I Kissed A Girl,5gD1OfCiygqxjjOxiaEKUe,46,180946,I Kissed A Girl,6puf6DIqPoNJGxpr3oCR5s,Katy Perry,6jJ0s89eD6GaHleKKya26X,0.0932,0.757,0,0.0714,9,0.681,-3.23,0.00218,0.0,0.753,129.976
Roar,6F5c58TMEs1byxUstkzVeM,79,223546,PRISM (Deluxe),5MQBzs5YlZlE28mD9yUItn,Katy Perry,6jJ0s89eD6GaHleKKya26X,0.0418,0.455,0,0.354,7,0.554,-4.821,0.00487,6.6e-06,0.772,179.984
"How Far I'll Go - From ""Moana""",5EbX5xL3O2xT8FxCpYzgUO,72,175517,"How Far I'll Go (From ""Moana"")",2ho9l951XwxpBFEEjubOUx,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,0.354,0.147,1,0.0673,9,0.315,-9.671,0.173,0.000242,0.563,179.484
Titanium (feat. Sia),0TDLuuLlV54CkRRUOahJb4,80,245040,Nothing but the Beat (Ultimate Edition),4bTjdxhRRUiWfwj200f9Kl,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,0.103,0.265,0,0.15,0,0.602,-3.657,0.0682,0.12,0.796,126.06
I Kissed A Girl,1pXrR5Y9OgcIV2JEAl2lCB,68,179640,One Of The Boys,7rSjuY09uCzvMY4TlFsBD8,Katy Perry,6jJ0s89eD6GaHleKKya26X,0.0677,0.696,1,0.132,5,0.699,-3.173,0.00223,0.0,0.76,129.996
Hallelujah,550rQQCGkrTzvp4SfpOPzx,69,268960,A Pentatonix Christmas,3oXvzShPN8iY2P1UYl3WVJ,Pentatonix,26AHtbjWKiwYzsoGoUZq53,0.0361,0.367,1,0.338,10,0.321,-7.385,0.454,0.0,0.377,119.483
Chandelier,4VrWlk8IQxevMvERoX08iC,80,216120,1000 Forms Of Fear,3xFSl9lIRaYXIYkIn3OIl9,Sia,5WUlDfRSoLAfcVSX1WnrxN,0.0499,0.572,1,0.0685,1,0.399,-2.88,0.0197,6.07e-05,0.787,117.089
Counting Stars,2tpWsVSb9UEmDRxAl1zhX1,81,257266,Native,20lOt6G8MHv8ZO7ViOmiP7,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,0.0382,0.477,0,0.118,1,0.664,-4.972,0.0654,0.0,0.705,122.016
Rude,6RtPijgfPKROxEzTHNRiDp,79,224840,Don't Kill the Magic,0RZ4Ct4vegYBmL9g88TBNi,MAGIC!,0DxeaLnv6SyYk2DOqkLO8c,0.0389,0.931,1,0.305,1,0.774,-4.995,0.0423,0.0,0.756,144.032
