,acousticness,danceability,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
0,0.0128,0.448,0.936,0ALUEAEN7rvkEhM4b17pzD,1.47e-06,5,0.227,-4.057,1,0.0632,164.918,0.676
1,0.0107,0.457,0.878,28D0HILaaAZz6icE6a6BvM,0.0,5,0.104,-5.749,1,0.0524,109.019,0.209
2,0.0492,0.587,0.792,5KEJcZIvzwaQZAMGfyRcqd,0.00797,4,0.0784,-7.367,0,0.0394,120.077,0.204
3,0.000196,0.297,0.976,0pcONuNATR8U8QOitZyWLp,0.0,5,0.219,-2.075,0,0.272,159.954,0.0648
4,1.56e-05,0.19,0.978,2dT8iEAH3d6BDxK6W7aHCr,0.0,9,0.338,-3.965,0,0.146,80.976,0.205
5,2.7e-06,0.208,0.994,5jYdHVbWaKvDAhMpGa9mE0,0.00145,4,0.372,-2.316,0,0.182,113.156,0.216
6,0.149,0.455,0.828,2tc97WIewRCpScw2jOf9QH,0.000108,1,0.25,-4.657,0,0.0424,125.18,0.327
7,2.69e-05,0.324,0.928,7ln4alACOpQynF9aPtrHzo,0.000878,6,0.332,-7.419,1,0.0954,200.078,0.425
8,0.0154,0.372,0.976,3v7IAZoVxJPt6ezib7Bern,0.0,2,0.0909,-2.911,1,0.107,145.52,0.464
9,2.53e-05,0.46,0.986,0LHkuVVn287CWnQscFBtMc,0.00107,5,0.15,-6.999,1,0.122,105.026,0.132
10,0.0151,0.574,0.837,3xge0nmDogsBBrJfveckeJ,0.0,4,0.141,-4.011,0,0.0412,114.922,0.489
11,0.00491,0.432,0.933,0SgRoKOUxTDpNwXsQ8rxtU,0.0,7,0.464,-4.523,0,0.0622,82.5,0.452
12,0.00556,0.488,0.843,4LEPaJeEAlimhlMR5I2ENU,0.0,1,0.346,-5.004,1,0.0555,120.999,0.347
13,0.000152,0.327,0.981,2L3nP5MydvAh79nFo38eLd,0.0,1,0.463,-3.383,1,0.248,175.841,0.419
14,0.000251,0.254,0.993,7zWJfgA11ZPGHjrFBZ0m8N,1.61e-05,3,0.233,-3.489,0,0.339,198.088,0.309
15,0.000448,0.603,0.873,72d5uOB3lIRr3b9XHNKAKu,0.0,1,0.129,-5.482,1,0.052,107.975,0.35
16,0.0186,0.479,0.801,4vBs5NhKXDLDTTwxAyY0IU,0.0,7,0.116,-8.262,1,0.053,165.052,0.46
17,0.000431,0.52,0.931,4OJ3ET3FKD9g4wOsU5JVuu,0.0,1,0.155,-3.667,0,0.0405,161.06,0.6
18,1.49e-05,0.423,0.792,0KcHwAnK9I7ieGVaRJICxT,0.0,5,0.429,-6.227,0,0.0396,119.974,0.195
19,0.0366,0.575,0.819,02HZgK5YSCALhTkEw2x1va,1.7e-06,5,0.121,-4.723,1,0.0342,92.067,0.381
20,0.798,0.667,0.271,1vC6x2MBpYJlaCSP4MVlir,0.0,1,0.0972,-8.295,1,0.0274,80.399,0.353
21,0.000958,0.463,0.956,54bgwCbHONVQZunvLlIu4K,5.99e-06,8,0.152,-3.607,1,0.362,140.083,0.174
22,0.000695,0.396,0.931,1W0bvo0yXqy34le2yjPdwK,0.0938,4,0.518,-4.031,0,0.0444,92.496,0.313
23,0.000991,0.524,0.949,5sm3Pz5o84JQBQBxfwmJs9,9.06e-05,2,0.11,-2.651,0,0.0408,97.985,0.656
24,0.612,0.525,0.463,7KVw7ma2iBd2d9yefbD3t1,0.0,4,0.166,-5.499,1,0.027,109.97,0.311
25,0.000123,0.553,0.881,0IKWIo3IYDgj7COaxoUcos,7.88e-05,10,0.0937,-6.033,1,0.0613,119.977,0.808
26,0.837,0.764,0.32,2b8fOow8UzyDFAE27YhOZM,0.0,11,0.0822,-7.209,1,0.0546,91.019,0.575
27,0.00829,0.63,0.858,4tUircdHfYZuQzdotDFUZL,0.00754,1,0.0664,-4.873,0,0.0349,106.986,0.919
28,0.0536,0.587,0.821,1aML2CdNXjkJJvIhzqN6Ka,0.0,9,0.0932,-5.041,0,0.0413,81.985,0.616
29,0.0483,0.669,0.864,7J1J3w67B0VEjF4jj0NzmE,0.0,0,0.0704,-5.15,1,0.0428,99.033,0.672
30,0.0832,0.64,0.992,08rBIlTMXlF5uEHobZglxv,0.0083,4,0.109,-3.318,0,0.0585,123.951,0.479
31,0.00858,0.504,0.915,0G30Lbhso1PTkbzn2a8qUy,0.0,0,0.107,-3.456,0,0.0537,125.056,0.592
32,1.69e-05,0.295,0.879,2VTe3W1ZefaQdndjT8S7D2,0.000121,2,0.331,-4.943,1,0.0409,105.416,0.375
33,7.51e-05,0.707,0.821,1WLhrJgvsmZWKJ9If4Sfiz,0.505,2,0.0534,-8.151,1,0.0674,126.982,0.884
34,0.142,0.412,0.643,14jybhVNhTvbRgZ9Zn6v5a,3.01e-06,6,0.068,-6.936,0,0.0362,129.355,0.355
35,0.00123,0.442,0.828,3MsSczExImfBf6j6OxW47K,2.16e-06,4,0.219,-4.361,0,0.0372,175.908,0.43
36,7.22e-06,0.493,0.968,72Ydsf2tvSytAy3Ylagps1,0.0261,2,0.177,-4.041,1,0.0986,119.984,0.0741
37,0.00874,0.228,0.989,1TIGc32z3eUSqjd35gUFyc,0.000293,7,0.658,-3.454,1,0.0917,193.264,0.306
38,0.212,0.845,0.766,19TOAlTFq0NDHvUPQR0tkr,0.0,2,0.111,-5.727,0,0.0658,114.054,0.782
39,0.0483,0.479,0.821,37lVNO7EOwJ8myaz0vFZ35,0.000112,1,0.136,-6.803,0,0.0313,155.944,0.54
40,0.000125,0.48,0.952,17aUTUaDHrwv49PViccjy9,0.000755,1,0.2,-4.049,1,0.0493,127.151,0.31
41,0.000161,0.371,0.922,2YyIZ2OFvpgRgrnrwGILPo,4.03e-05,5,0.141,-2.973,1,0.0624,170.018,0.622
42,0.0209,0.844,0.846,4HfkhyK2z7dSazFLgWqaf9,0.00543,7,0.0947,-4.622,1,0.069,120.016,0.79
43,1.64e-05,0.392,0.871,5qExzy0M0gMLuzfCj2dUXm,0.0177,2,0.343,-5.756,0,0.0473,184.951,0.484
44,0.000153,0.558,0.826,4vIAPgcWfFpyP4BgO6u5Jc,0.0105,5,0.108,-6.474,1,0.0663,99.995,0.416
45,4.62e-05,0.419,0.925,4800rbaWOM9V8Z1nMNkkR9,0.11,10,0.0796,-4.395,1,0.0729,144.0,0.248
46,0.000202,0.507,0.91,7o0CzCmFo363J5JgmT1nRd,0.000181,10,0.11,-6.169,1,0.179,140.858,0.505
47,0.000482,0.289,0.994,5xOGKUIKgQDdf30tDcAskc,0.000363,5,0.213,-3.028,1,0.448,179.984,0.0826
48,7.22e-06,0.457,0.944,4EHjUI8dwoze67SekeePFA,0.000197,8,0.175,-5.106,0,0.0564,143.02,0.409
49,0.000154,0.522,0.873,3dSaG69ViluCyse7NqQNbQ,0.0605,10,0.205,-3.777,0,0.0577,129.998,0.564
50,0.0209,0.627,0.755,18j0eoKhAzqx2NmmBvNvWr,0.00146,2,0.0744,-6.405,1,0.0418,128.005,0.5
51,0.000109,0.598,0.767,1L57KREIb1zy96iB3rHGLR,0.00255,2,0.273,-5.958,1,0.0335,139.995,0.559
52,0.00629,0.312,0.939,62K4PNMyxDxi20DHsGDrQp,0.0,4,0.42,-4.177,0,0.0686,172.307,0.557
53,0.00149,0.626,0.7,03kgiS0813IuHfVMZix7hT,0.00108,4,0.17,-5.437,0,0.0305,101.016,0.362
54,0.000336,0.415,0.94,43JvUj6hkz8Q3nw2ryannK,0.0,7,0.331,-4.144,1,0.0877,170.019,0.565
55,0.000386,0.454,0.963,5Lu8iLu4A9b9ILPPuonbRJ,0.0023,3,0.0701,-3.669,0,0.101,154.958,0.659
56,1.36e-05,0.422,0.981,6iNOrKFZgKcfIb3Ywxz7Pu,0.00117,5,0.0583,-5.157,1,0.105,159.982,0.487
57,0.00808,0.411,0.909,59DQjXLvUdvG6JVnGYhue7,0.0,8,0.0995,-5.203,1,0.0381,194.042,0.719
58,0.00848,0.499,0.771,4RomY1KECjcIV2VtfYVLKO,0.000683,8,0.539,-11.427,1,0.0333,151.018,0.62
59,0.000672,0.469,0.839,4oTmI5dEDvtOaS3M3Hxzzx,3.16e-06,5,0.288,-2.448,1,0.0687,75.037,0.682
60,0.00955,0.605,0.989,0AUFYkdjn2FUWAv2tsZ4Jv,0.00513,8,0.0531,-3.92,1,0.324,100.085,0.224
61,3.3e-05,0.525,0.85,1eiSzFlbkJeZQ5sEJSknS7,8.9e-05,9,0.085,-6.18,0,0.0536,144.955,0.559
62,0.00382,0.498,0.787,1Ao9v5ruJNdrYsOZUg7ARF,0.0,0,0.108,-3.822,1,0.0594,95.058,0.384
63,0.00101,0.512,0.8,3CdiDnMY9I6a2mciw8okLq,0.000158,1,0.105,-4.001,1,0.0322,92.003,0.701
64,0.0493,0.404,0.651,5XAfYEX55FPFf5j41BuyeX,0.000103,6,0.121,-6.041,0,0.0444,154.921,0.0379
65,0.00659,0.421,0.624,1VNRQOoxy0pNUTDI8KoUht,0.311,11,0.101,-5.367,1,0.0387,76.899,0.149
66,0.00247,0.325,0.943,5Fmh9k1WbVWoEEDdEhl1xU,0.00246,0,0.496,-4.451,1,0.116,149.956,0.0918
67,0.000261,0.407,0.993,4tHeLJ6FOtqoT7FCzLvaRg,0.000955,8,0.488,-4.074,1,0.216,171.976,0.529
68,0.000922,0.226,0.717,1q6qol2S6DVzblAZuXT02K,0.0566,1,0.621,-5.534,1,0.0498,136.011,0.329
69,0.00563,0.449,0.908,35LF52lFWx4HBEn9ziovRj,0.0,10,0.0346,-6.525,1,0.0812,151.963,0.543
70,0.0733,0.552,0.863,6Uks8ZMSlASX7aygehQesZ,1.84e-06,4,0.25,-5.504,0,0.0431,90.675,0.345
71,0.00213,0.517,0.843,7mBeP0iGO8txUrWw3ybKCx,0.00644,1,0.118,-6.827,1,0.0799,128.949,0.454
72,0.00317,0.591,0.876,1aWCwXjZHZ4uUPMkqK6Sxn,0.000209,2,0.18,-4.789,1,0.0315,135.987,0.824
73,0.195,0.692,0.705,1XCUcokRAfiHGP52sxR9QG,0.0,0,0.185,-8.828,1,0.0618,143.909,0.741
74,9.07e-05,0.581,0.903,0xcF2mC6MktbXOT7kRiXoF,0.124,8,0.187,-5.013,1,0.0786,107.028,0.177
75,0.00197,0.408,0.92,5KVISJL93AgXcQG0WRJ3Gq,0.00106,2,0.0751,-3.082,1,0.141,101.44,0.337
76,0.0503,0.53,0.632,6EPsWbzt0kwTDvxtC5uySD,0.0257,7,0.278,-7.539,1,0.0308,113.031,0.214
77,0.000156,0.529,0.925,3XWptIVUohAaiBSSWzScKB,0.000525,4,0.199,-2.991,1,0.0748,134.013,0.71
78,0.00085,0.576,0.931,7qVnkPY1UPmSeWULwXSW7a,0.0,7,0.143,-2.491,1,0.0563,133.987,0.735
79,0.0174,0.509,0.878,207xJdEW3KQZbkLqgl5b7G,0.0,0,0.397,-4.787,1,0.131,144.966,0.298
80,0.00124,0.602,0.895,2HtE3mNbcdJNxEsXuUK59X,0.0,2,0.0787,-5.073,0,0.055,95.034,0.388
81,0.0961,0.762,0.784,5OjDZNHerI7RrIHFJajOMD,0.000129,10,0.122,-5.415,0,0.0483,121.966,0.399
82,0.000129,0.206,0.993,6kgUPKwZhmMsHHkIJxHNZp,0.0,7,0.289,-4.521,1,0.117,119.777,0.233
83,0.00255,0.456,0.989,7g5WfsiQfjZ31GnlW6HNa7,0.664,7,0.247,-1.372,1,0.113,92.58,0.278
84,0.000266,0.519,0.912,0Ezs8QRKU6jrzyof6sJ9Zc,0.000925,2,0.164,-5.78,0,0.08,132.021,0.353
85,4.98e-05,0.708,0.847,1cS0KpQlqisdtlFCs4sWY7,0.908,1,0.0919,-6.554,0,0.0528,122.995,0.115
86,0.0361,0.669,0.748,0YZc9Xg6nzdYX8T7OrMx3X,7.74e-06,0,0.0777,-7.445,1,0.0545,136.991,0.872
87,0.00403,0.392,0.972,7xgjwuqkYgAvLpBqeW4atb,0.0,0,0.501,-2.891,1,0.201,167.841,0.33
88,0.0142,0.666,0.765,3pF3iiVbasHeH4vuQECRQL,0.0,2,0.204,-6.467,1,0.0645,120.03,0.524
89,0.0567,0.508,0.744,1maoY6K6fsTEv9fhXhBL14,0.0,5,0.193,-3.421,1,0.0356,132.067,0.129
90,0.245,0.653,0.65,6JTYtfu6c6KxOsXisloZe7,0.000465,9,0.0575,-4.451,1,0.0315,118.997,0.767
