,acousticness,danceability,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
0,0.00666,0.435,0.783,1UCV5UqRcqaktkMvcoI0DR,0.0,4,0.0986,-5.822,1,0.0388,144.01,0.219
1,0.000109,0.474,0.995,2QcHIZFd5Meeroa1HB1L90,0.00976,5,0.05,-4.316,0,0.279,125.025,0.0394
2,7.48e-05,0.137,0.908,6pvtHYK8YwNDbfmKPljvIo,0.000201,10,0.173,-4.969,0,0.0793,91.468,0.107
3,5.7e-05,0.376,0.982,6REc2Tq4G2RW5zKXtusTLF,5.41e-06,5,0.16,-3.779,0,0.0625,148.926,0.15
4,3.35e-05,0.514,0.967,69g3SU3gusPsvzTRprMWo5,0.000279,2,0.0446,-3.931,1,0.0868,93.501,0.18
5,0.000106,0.388,0.983,2OOcrrsLjVqf36zxSvqHIX,1.33e-06,1,0.157,-4.073,1,0.168,159.922,0.345
6,0.000212,0.505,0.981,04K2bMi2vyOBwxr5EjDq5O,3.75e-06,2,0.588,-3.779,1,0.156,120.052,0.256
7,0.000123,0.506,0.965,6WaYiQUPel70HUaCZj5eND,9.87e-06,7,0.0978,-3.665,1,0.0723,138.035,0.588
8,0.00379,0.524,0.997,1JhNaEvVubRXy3wnOv10Ic,0.0,6,0.241,-1.394,1,0.107,129.965,0.371
9,3.36e-05,0.384,0.992,3ORgbqQVR5oj2QlX1nML8l,7.79e-05,10,0.565,-3.249,0,0.125,160.038,0.0988
10,4.54e-05,0.499,0.937,0SnvI0twJ1Mnh0rJlBRrf0,6.11e-06,6,0.477,-2.492,1,0.0605,90.029,0.569
11,0.00254,0.53,0.907,1ZiTdxdpKQuovW4ERgBIO2,3.91e-05,8,0.1,-3.066,1,0.0589,109.997,0.264
12,0.000732,0.299,0.99,4G8EhnfKvBQVlOJ4xXCHpQ,0.000405,6,0.165,-3.498,1,0.156,110.313,0.197
13,8.87e-05,0.492,0.982,1s2Dj6EPVjTbOIoxhN2Tdc,0.0108,1,0.392,-5.251,1,0.147,124.94,0.0877
14,0.0499,0.463,0.948,2suiO5Fo8gpW4VLSJkx2lI,0.0,3,0.477,-4.345,1,0.51,150.036,0.231
15,2.15e-05,0.535,0.972,0OiqmkoWLbaq2S7rvlwPSF,0.733,1,0.0758,-4.146,1,0.0798,129.995,0.251
16,1.77e-05,0.423,0.985,5jr7HBFD9yryABMbPd4aJR,0.0,3,0.366,-3.971,0,0.101,101.497,0.162
17,7.69e-05,0.549,0.995,4iUFYqWo9l1BpOZAHsR7zf,0.0,4,0.12,-4.141,1,0.17,128.083,0.0602
