id,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
2VsKJODsXzU1NtoFYIh9FM,0.0374,0.377,1,0.109,9,0.484,-8.459,0.925,0.00069,0.367,81.038
7mgWCXPKOWgOexqeYLGjeu,0.0393,0.245,0,0.12,10,0.466,-9.087,0.933,2.45e-05,0.257,117.962
6ZpJrxd7zlclMxWLCcbxrW,0.0492,0.481,1,0.135,7,0.498,-6.048,0.51,0.0107,0.909,146.989
3KkVRHM9YP3PVHzI7I2fGN,0.0504,0.472,0,0.268,4,0.567,-6.417,0.203,7.23e-05,0.779,83.994
6oDXwSPWcp7KT2B3funF8y,0.0303,0.52,1,0.122,6,0.654,-9.301,0.152,1.02e-05,0.443,80.508
0csL2ngDD3OIdOIiOoHbyP,0.0499,0.17,1,0.0779,3,0.762,-18.287,0.845,0.927,0.18,101.809
3ljCRAo4YkWwrt3OufWzUE,0.0378,0.538,1,0.236,9,0.468,-2.301,0.00247,0.542,0.693,133.052
40d4m1eI0erCRKLXz55RtT,0.0338,0.227,0,0.125,6,0.285,-9.839,0.137,0.409,0.496,124.441
51jG0OlS5GWuunFH05NyC6,0.0368,0.0876,0,0.115,6,0.644,-8.813,0.927,0.0264,0.247,124.667
1H3bR7kQ1VBOb5pEJMiPdM,0.0547,0.578,0,0.147,4,0.513,-5.913,0.339,0.255,0.878,173.21
6OiRh4kttAs1YWglvTcYkB,0.0495,0.503,0,0.108,6,0.534,-4.675,0.00605,0.0929,0.724,81.846
65sNrvOp2HLlhGTeLJ0nnk,0.0507,0.295,0,0.125,6,0.541,-8.886,0.674,0.00583,0.583,148.162
0a0EYuSVqeVqV8kjN9bFYC,0.0441,0.898,0,0.108,1,0.605,-7.729,0.121,0.431,0.724,89.403
1ecdTZufvS62SLVPZTivYd,0.163,0.669,0,0.068,1,0.607,-11.625,0.077,3.97e-06,0.277,209.896
3EZvhNCLA30qUZT2LMDYRL,0.0394,0.559,1,0.178,10,0.756,-12.357,0.761,0.0535,0.468,118.019
