,album,album_id,artist,artist_id,duration_ms,id,name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
0,Para Aventuras y Curiosidades,01yYW0rRRwlEZx1dMmc5ff,Mau y Ricky,2wkoKEfS6dXwThbyTnZWFU,206279,0UQwlF2pRkr1lMN6kNNUj3,La Boca,83,0.0655,0.618,0.795,0.0,2,0.309,-1.8,1,0.113,185.901,0.76
1,Sabrosa,21KqDMtOpSr1DS48sYkzcB,Yera,1vrahybrKylgwkjhbmOz94,209203,0piJ0sgTGCnuu1ISVntqUS,Sabrosa,57,0.191,0.661,0.903,0.0,0,0.374,-3.433,1,0.0437,113.107,0.742
2,Si Me Das Tu Amor,4HnkFvcWujnLxUcPQkPjRM,Carlos Vives,4vhNDa5ycK0ST968ek7kRr,213186,1O34fFJyV7djSqRtOuRSVh,Si Me Das Tu Amor,64,0.0613,0.707,0.88,0.0,6,0.0656,-4.268,0,0.0764,93.032,0.379
3,Casa En El Aire,7xh37rpO1dVzU9XAJUEGqX,Arevalo,66q4aUeE6L8715QQ2yD68G,181560,1j0a4dRwOwFMKul897zhE2,Casa En El Aire,58,0.0261,0.727,0.842,0.0,0,0.0725,-3.354,1,0.182,75.912,0.778
4,Ganas,2uIHoOvaFqnh1mH9kMAGjo,Gusi,7GMRarEViKQmiTUMFZtrfe,207786,20B7xE2rRC9E3Xkremv4YW,Ganas,51,0.154,0.736,0.967,0.0,10,0.0977,-1.664,1,0.0872,100.03,0.764
5,La Lá,2JPVwNK84tcKKynGJn2s8s,Mike Bahía,1phfTBIocBW3UwqcYjaEN6,195351,4kitLAHbmBBXYHt9g22md3,La Lá,76,0.327,0.863,0.686,0.0,10,0.0724,-4.512,1,0.253,94.026,0.463
6,Loco,5FaSOHFMF5MaeUUDsq8lLG,Beéle,7a0XAaPaK2aDSqa8p3QnC7,207856,4zAmejUNIsPCWsj5t1lGo4,Loco,72,0.155,0.849,0.569,2.18e-05,6,0.0696,-6.14,1,0.126,105.038,0.766
7,Querer Mejor,7BkEMbfRJKKj4nbXB4xhRp,Juanes,0UWZUmn7sybxMCqrw9tGa7,171280,5Yp4UtIwEHfHXEowSan061,Querer Mejor,70,0.297,0.781,0.705,0.0,2,0.118,-4.51,1,0.134,82.523,0.615
8,Sueños,3TgOrQ3p23Af8zSsxK8fdX,Sech,77ziqFxp5gaInVrF2lj4ht,225933,1Ej96GIBCTvgH7tNX1r3qr,Otro Trago,89,0.136,0.747,0.7,0.000167,0,0.11,-4.669,1,0.341,176.036,0.62
9,Baila,0ZrbrBx1Rkc7hq3hDKdOmH,Greeicy,5dbaLmK5SHLLg8Z4CcTJpX,180480,041Kcvnw8nOdq8xiRibPTG,Destino,72,0.0135,0.701,0.767,7.29e-06,0,0.0612,-3.055,1,0.0746,188.085,0.695
10,Para Aventuras y Curiosidades,01yYW0rRRwlEZx1dMmc5ff,Mau y Ricky,2wkoKEfS6dXwThbyTnZWFU,204563,56f5qnyAlZdlz8wrUDA50h,Desconocidos,78,0.118,0.719,0.753,4.21e-06,7,0.212,-4.891,1,0.179,174.107,0.675
11,Te Estás Enamorando De Mi,6dIOyfEblWiLaoRfJkNdLY,Luciano Pereyra,6ZZ2DeepA3GpoGU4KwqSlU,165680,0VKNy1fBPb3ZcMJE3v17VF,Te Estás Enamorando De Mi,62,0.0481,0.796,0.723,0.0,5,0.0757,-3.974,1,0.219,177.979,0.49
12,Belly Dance,104ZvG4ktQLT1gDUEfLCxZ,Bomby,2U3Y8qTTqVAA7uoksbqTDh,207600,0bTrEs26XGh0PMFeR76cSt,Belly Dance,44,0.362,0.745,0.833,0.000465,0,0.155,-3.602,0,0.232,99.886,0.876
13,Andan Diciendo,4QnRBgWvHDjy8i1buxbHxh,Ventino,1G89WXRVVAEjU4VIwgg6XD,221345,0wt2PeQ8AeBlx6WbgoM97r,Andan Diciendo,69,0.0134,0.779,0.744,0.0,1,0.134,-5.548,0,0.12,95.977,0.419
14,Tutu,6xu5asYeoMIT5Sa5b1P13q,Camilo,28gNT5KBp7IjEOQoevXf9N,178613,1nocRtwyNPVtGcIJqfgdzZ,Tutu,92,0.273,0.731,0.832,0.0,9,0.0665,-2.592,1,0.0503,146.013,0.94
15,Tequila Sunrise,3l8AkEiLKIulRlcFwY4frk,Cali Y El Dandee,5DUlefCLzVRzNWaNURTFpK,234306,1sD32hk8V2vR4ME7M0rPT5,Tequila Sunrise,70,0.121,0.784,0.855,0.0,0,0.0483,-1.924,1,0.0584,93.979,0.707
16,Ay Corazón,3DraAOT7RGSJUxwyU18HmA,Cali Y El Dandee,5DUlefCLzVRzNWaNURTFpK,190287,3DN6Gss0WIEMXc1AvnrAA5,Ay Corazón,70,0.0183,0.727,0.712,0.0,5,0.0727,-4.476,0,0.0817,172.068,0.782
17,Déjate Querer,1BqgA0LjVFVKEbiCyqIjah,Lalo Ebratt,1GAymyGBvB4gQy5Z5LZ1Wj,202823,3mN2DtljBhnrIpc3Nu2pJ8,Déjate Querer,79,0.028,0.755,0.792,0.0,6,0.0754,-4.238,1,0.0484,106.014,0.844
18,Indeciso,4qecT0ZJrf35thz2WaEm6P,Reik,0vR2qb8m9WHeZ5ByCbimq2,217253,59s0s39NFWScuHDbHytI14,Indeciso,85,0.182,0.738,0.748,0.0,0,0.11,-4.902,1,0.0453,94.949,0.896
19,Como lo Hiciste Ayer,7FDqEsJCMBdctcmfA81r0F,ICON,0SSbTivuMrvdqgCt7ln6jD,221727,6qO97TNzBV8SUlYweB6TwL,Como lo Hiciste Ayer,70,0.0675,0.824,0.721,4.75e-05,11,0.201,-4.727,1,0.0956,96.993,0.6
20,Agustín,3IoPgNvM9CTiFg8FvJ0CIn,Fonseca,53KTldaJ8tHSkYU3nigfwP,216800,6SJpPK0WJATnEUv2OJX79u,1001 Noches,60,0.113,0.749,0.94,0.0,0,0.113,-2.935,1,0.0352,103.009,0.362
21,Carte Blanche,2MFS6WG6jnPAgvJpV3PehR,DJ Snake,540vIaP2JwjQb9dm3aArA4,185194,6osaMSJh9NguagEDQcZaKx,Loco Contigo (feat. J. Balvin & Tyga),92,0.278,0.694,0.758,1.34e-06,11,0.102,-2.986,1,0.218,192.091,0.371
22,ADN,0CUMVFalkFhZM6Xo0ErxLi,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,199090,4fj7e6Tc48Bmomwyz2Z2XC,Te Quemaste,85,0.611,0.729,0.773,0.00106,0,0.287,-2.486,1,0.131,176.053,0.718
23,Secreto,6owzcG80ifZRDApCpzJYK1,Anuel AA,2R21vXR83lH98kGeO99Y66,258800,5W83ErFkO3aKAIS1WMi6u0,Secreto,84,0.602,0.807,0.803,0.00853,11,0.136,-4.156,1,0.126,91.987,0.706
24,No Te Veo,5hwGqi428VUXq9w1Lg8rIP,Casper Magico,1fux65HMCBvfJHqlBc4Nno,252440,0stKSegkdrfLTDvm5sIO38,No Te Veo - Remix,80,0.485,0.861,0.786,2.44e-05,1,0.113,-3.833,1,0.229,104.017,0.778
25,Ella Quiere Beber (Remix),6lNu03TCXIXoalIH2r65Xm,Anuel AA,2R21vXR83lH98kGeO99Y66,219357,2cYnZNzFRFK0H7vSNxPsUq,Ella Quiere Beber - Remix,25,0.265,0.751,0.665,0.0,8,0.0515,-3.083,1,0.124,95.239,0.698
26,Hookah & Sheridan s,4GujZLJk2JyydUHjs1oarg,Tommy Boysen,0wWmUneAuhQn9L3qibj5UO,195284,3QfD4bxxkopZL7XZ8RaezH,Hookah & Sheridan s,77,0.353,0.809,0.528,5.86e-06,8,0.0897,-6.886,0,0.12,103.923,0.491
27,Tal Vez,039RvHRSbMCfQLsYcg70BQ,Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,264483,46lvmzK8wxAy66tjzXXSh0,Tal Vez,84,0.266,0.849,0.655,0.0,8,0.0781,-2.899,1,0.106,161.966,0.76
28,Te Soñé De Nuevo,6G5nG3kLpWF7aGRCAUhCf0,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,199812,5s8LepdwU0THzpd0M7nLsa,Te Soñé De Nuevo,83,0.0533,0.772,0.683,0.0,7,0.0936,-2.867,0,0.107,168.04,0.773
29,Tanta Falta Remix,296ygxpV1TLiYxQqiMLrvu,Bryant Myers,6w9ToX5slZ4uIdmD17hJ3c,181106,6GxEpbOvB4dXgRF2SLJliK,Tanta Falta Remix,67,0.198,0.851,0.736,1.7e-06,7,0.24,-3.647,1,0.0625,89.983,0.826
30,Mamasita,55TnizsMJLatZwH7RL9lzP,Kevin Roldan,1RBzGO6Nm3uyhUSxP7EDWO,151986,78Jbs8SDSxRDvnkl5TNi2b,Mamasita,69,0.0182,0.81,0.717,0.00155,10,0.105,-3.92,0,0.132,95.077,0.687
31,Fingías,1V2sg9XB2TP29Ys4ER3fLn,Paloma Mami,7rOlQwf8OuFLFQp4aydjBt,225373,7o0oY5wRcoV7oPuDhD2J1z,Fingías,75,0.19,0.729,0.805,0.225,6,0.0909,-3.83,1,0.184,191.994,0.345
32,Utopia,641GiT5acr1xtD0wBe7tYs,Ceaese,580taoAhpqvyGCRoJsVdw9,205189,5cBKhNt5d0f6KxJxziKr1N,Te Quiero Ver,2,0.411,0.769,0.839,0.0,7,0.324,-3.765,0,0.0606,90.019,0.547
33,Bellacoso,0un8ZRojNl6fYFRHYzQ9GG,Residente,5GcWBUX00IPuWVGMIRK1sS,257864,1kMUGCt7XLDc5Q64Vl0H8S,Bellacoso,85,0.0651,0.774,0.851,0.0,11,0.0568,-2.795,0,0.255,180.086,0.695
34,Pa Mí (Remix),4OyP4eAtpTHXjpVBjJvPNG,Dalex,0KPX4Ucy9dk82uj4GpKesn,360960,224EVTFiLsdQignUFLvDeH,Pa Mí - Remix,45,0.753,0.688,0.62,5.27e-06,11,0.158,-8.029,0,0.22,170.018,0.727
