name,id,popularity,duration_ms,album,album_id,artist,artist_id,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
Only Wanna Sing (Live),0UK511K1sEmtdcnD1ylhCJ,50,195480,Youth Revival,1IGVfSUmT7Eg1YElv0q2MA,Hillsong Young & Free,7m4gF38CPATtHrk5HS42WZ,0.0278,0.229,1,0.716,7,0.545,-6.555,0.0136,1.27e-05,0.822,130.051
Might Sound Wild - Live,6ulXU2MtTqhblpftVbVM1y,51,375668,People (Live),3bMPLTN3fYcLAO2DJwPoBK,Hillsong UNITED,74cb3MG0x0BOnYNW1uXYnM,0.0439,0.197,1,0.667,2,0.321,-7.225,0.000836,0.0,0.808,195.073
Another In The Fire - Live,2txJKgDAXfLe9ipMG3VhOh,63,393352,People (Live),3bMPLTN3fYcLAO2DJwPoBK,Hillsong UNITED,74cb3MG0x0BOnYNW1uXYnM,0.0351,0.0943,1,0.138,0,0.452,-7.831,0.000596,0.0,0.684,135.058
Broken Vessels (Amazing Grace),35WtFQK3iG2WPjstuuKaVc,65,568791,No Other Name,4qKQSjyrG1mS84P5tgX7ks,Hillsong Worship,3SgHzT552wy2W8pNLaLk24,0.0281,0.0871,1,0.721,7,0.379,-7.051,0.293,8.83e-06,0.489,140.937
Amazing Grace,6I0BNA8vvGSXztFCwVfdjn,45,213186,He Touched Me,4BcD1RBud4U2DAqByYFBi2,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,0.0309,0.417,1,0.107,7,0.19,-13.538,0.894,0.00236,0.281,183.461
Lágrimas de Álcool,0NcZPpFbloIYyufL78heqD,33,183221,Lágrimas de Álcool,3U6QV5cXGA2DuD67DtjAqz,Zezo,5R18GNmvBWGTfBAG0Xy8WT,0.0333,0.872,1,0.178,6,0.81,-6.298,0.13,0.0,0.784,129.998
Long Neck - Acústico,4Lxv5hGnHOUYBVeDgWgcaP,75,167500,Acústico de Novo,4QyeHXku1kDXZyGR9Do0Jv,Zé Neto & Cristiano,487N2T9nIPEHrlTZLL3SQs,0.0431,0.704,1,0.295,11,0.623,-5.435,0.37,0.0,0.687,127.875
Estado Decadente - Acústico,4eB8rsNNm5791m3uvEBNLR,78,173830,Acústico de Novo,4QyeHXku1kDXZyGR9Do0Jv,Zé Neto & Cristiano,487N2T9nIPEHrlTZLL3SQs,0.0658,0.583,1,0.111,1,0.757,-4.78,0.586,0.0,0.687,117.927
Notificação Preferida - Ao Vivo,3tA0vALUwrzkTgHcm9j6oJ,78,182340,Esquece o Mundo Lá Fora (Ao Vivo) - Deluxe,0wQ5Sn6RU4yL6WpeiWSaBN,Zé Neto & Cristiano,487N2T9nIPEHrlTZLL3SQs,0.13,0.206,0,0.189,8,0.398,-4.734,0.778,0.0,0.838,156.008
Quarta Cadeira - Ao Vivo,5q0NlM6Pm8Pp3orq7zGiRn,83,224001,Tem Moda Pra Tudo (Ao Vivo),43Z8iIpoxaCrr27KILZJzs,Matheus & Kauan,2Z0lRIqr997lIUiPtrpKCr,0.243,0.604,0,0.621,5,0.565,-5.031,0.589,0.0,0.82,76.471
